period,plantid,latitude,longitude
2023-01,58511,64.013889,-145.596667
2023-01,406,63.33552,-142.99997
2023-01,57057,59.747436,-161.910647
2023-01,57058,61.936456,-162.880706
2023-01,57059,64.932089,-161.167103
2023-01,57060,64.616558,-162.263717
2023-01,64,58.3536,-134.4953
2023-01,65,58.3269,-134.4631
2023-01,78,58.1415,-133.737
2023-01,7250,58.3875,-134.6446
2023-01,57085,58.2325,-134.0533
2023-01,59793,58.367635,-134.60802
2023-01,66,59.4545,-135.3131
2023-01,69,59.235931,-135.446228
2023-01,57056,61.843036,-165.581497
2023-01,6345,66.255072,-166.073589
2023-01,6348,59.059744,-160.380278
2023-01,6566,60.7897,-161.787778
2023-01,6637,59.544553,-139.724306
2023-01,57051,67.570931,-162.965728
2023-01,57052,63.695267,-170.475661
2023-01,57053,62.6833,-164.6544
2023-01,57054,61.526858,-160.348128
2023-01,57055,63.521047,-162.286322
2023-01,57061,63.4775,-162.0383
2023-01,57062,63.777058,-171.712439
2023-01,57063,66.888114,-157.140206
2023-01,63,58.3107,-134.4174
2023-01,57064,63.03215,-163.553106
2023-01,54452,60.6732,-151.3784
2023-01,62,58.3176,-134.101
2023-01,57065,67.726644,-164.538447
2023-01,57066,60.8731,-162.5197
2023-01,57067,60.530142,-165.108575
2023-01,60243,67.08798,-157.856719
2023-01,60244,61.878186,-162.085147
2023-01,60245,59.448358,-157.325528
2023-01,60260,65.331716,-166.479506
2023-01,421,55.47691,-133.14869
2023-01,423,55.204937,-132.821435
2023-01,7169,62.9617,-141.9372
2023-01,7414,55.68586,-132.52892
2023-01,7751,59.5357,-135.2123
2023-01,7752,55.476472,-133.14772
2023-01,56146,55.48918,-133.1345
2023-01,56265,55.563333,-132.891111
2023-01,56542,59.4072,-135.3408
2023-01,61684,55.553197,-133.08535
2023-01,61685,62.592756,-143.588869
2023-01,65767,58.419497,-135.70737
2023-01,6311,61.525297,-165.590152
2023-01,56147,55.540708,-133.102344
2023-01,6314,62.777694,-164.531517
2023-01,6319,61.530858,-166.101944
2023-01,6329,62.085569,-163.729072
2023-01,6323,66.973889,-160.428592
2023-01,6330,66.834519,-161.038717
2023-01,6333,60.89588,-162.459756
2023-01,6338,62.051525,-163.172567
2023-01,6341,66.606778,-160.014808
2023-01,7173,71.292,-156.7786
2023-01,79,64.847743,-147.735063
2023-01,77,61.475211,-149.15009
2023-01,75,61.2221,-149.8661
2023-01,96,61.1861,-151.0356
2023-01,7182,61.580678,-159.535643
2023-01,6559,61.229713,-149.716744
2023-01,57036,61.167417,-149.905304
2023-01,6291,60.392331,-149.665603
2023-01,6293,61.168972,-149.911038
2023-01,390,61.0828,-146.3033
2023-01,6305,62.110415,-145.532529
2023-01,6306,61.1303,-146.3647
2023-01,7841,61.0839,-146.2529
2023-01,58982,61.084444,-146.353333
2023-01,109,59.042914,-158.468597
2023-01,7437,64.74417,-156.8736
2023-01,6288,63.8542,-148.95
2023-01,56325,64.028056,-145.719444
2023-01,6285,64.7356,-147.3481
2023-01,6286,64.854171,-147.719351
2023-01,57583,64.8167,-147.725
2023-01,57935,64.058333,-148.9
2023-01,7174,66.566287,-145.253052
2023-01,90,64.505331,-165.429814
2023-01,91,56.81104,-132.957091
2023-01,92,60.130922,-149.43501
2023-01,7462,57.499166,-134.58614
2023-01,7463,58.106432,-135.43074
2023-01,7464,56.962983,-133.922557
2023-01,54422,53.8796,-166.5532
2023-01,6283,59.439542,-151.713439
2023-01,7488,70.642877,-160.020461
2023-01,6292,60.6935,-151.3874
2023-01,7367,59.778620000000004,-150.94015
2023-01,55966,60.676539,-151.377713
2023-01,57206,60.499444,-150.997222
2023-01,50711,64.854171,-147.822075
2023-01,7482,70.4826,-157.4252
2023-01,7483,70.125617,-143.619033
2023-01,7484,70.220565,-150.993492
2023-01,54834,63.973572,-145.716581
2023-01,7502,53.892459,-166.538185
2023-01,7503,53.863993,-166.512591
2023-01,6702,57.957197,-136.220095
2023-01,7183,59.899054,-154.698735
2023-01,7485,68.348424,-166.737211
2023-01,7486,69.740833,-163.005833
2023-01,7487,68.13795,-151.741017
2023-01,6299,63.876789,-160.790414
2023-01,50308,64.825601,-147.648627
2023-01,95,56.460976,-132.379439
2023-01,54305,53.858508,-166.55288
2023-01,50392,64.67141,-147.075988
2023-01,52184,60.677,-151.3815
2023-01,789,60.555889,-145.752983
2023-01,7042,60.612822,-145.679411
2023-01,7862,60.588686,-145.604539
2023-01,62714,60.54047,-145.74079
2023-01,58117,70.2,-148.466667
2023-01,58278,70.235278,-148.383611
2023-01,93,57.0516,-135.2297
2023-01,313,56.986284,-135.12275
2023-01,6801,57.0497,-135.3128
2023-01,7493,55.061683,-162.3103
2023-01,6304,66.837778,-162.556944
2023-01,71,57.6861,-152.895
2023-01,6281,57.789956,-152.396982
2023-01,6282,57.864775,-152.855441
2023-01,7723,57.731608,-152.507044
2023-01,57187,57.7869,-152.4406
2023-01,58405,57.799167,-152.404167
2023-01,60250,57.77556,-152.48028
2023-01,60563,57.780114,-152.443783
2023-01,84,55.344641,-131.633425
2023-01,85,55.357397,-131.69696
2023-01,6580,55.37975,-131.470269
2023-01,6581,55.381402,-131.517758
2023-01,58977,55.328056,-131.530833
2023-01,58989,61.457778,-149.351389
2023-01,6555,62.95699,-155.594997
2023-01,6301,58.730417,-157.007222
2023-01,6302,55.091263,-131.544978
2023-01,7112,55.121433,-131.560267
2023-01,7168,55.116879,-131.545879
2023-01,58380,61.286,-149.61
2023-01,58425,61.13,-150.243611
2023-01,1,55.339722,-160.497222
2023-01,59037,55.216389,-132.603611
2023-01,70,55.615208,-131.356111
2023-01,61166,56.216403,-131.504344
2023-01,54763,32.4541,-87.9759
2023-01,3,31.0069,-88.0103
2023-01,10,32.6017,-87.7811
2023-01,4,32.583889,-86.283056
2023-01,16,32.680394,-85.911442
2023-01,17,32.806025,-86.444892
2023-01,55409,33.5883,-85.9731
2023-01,55440,32.6497,-86.74
2023-01,55,31.361146,-86.518307
2023-01,533,31.400255,-86.476449
2023-01,7924,34.363389,-86.223889
2023-01,7063,31.2546,-88.0299
2023-01,2,33.458665,-87.356823
2023-01,53,31.4033,-86.479469
2023-01,60679,31.331148,-85.73019
2023-01,60680,33.626728,-85.969481
2023-01,11,33.7845,-86.0524
2023-01,12,33.2553,-87.4495
2023-01,13,32.6189,-86.2548
2023-01,14,33.425878,-86.337547
2023-01,15,32.9633,-86.5187
2023-01,18,33.9406,-87.1077
2023-01,19,32.535436,-85.887614
2023-01,20,34.172142,-85.753806
2023-01,21,32.5743,-85.8901
2023-01,26,33.244211,-86.458056
2023-01,6001,31.2231,-85.1116
2023-01,6002,33.6319,-87.0597
2023-01,6188,33.258281,-85.616047
2023-01,7697,31.2504,-88.0156
2023-01,7698,32.310226,-86.52542
2023-01,7721,30.525445,-88.128477
2023-01,55292,34.6292,-87.0214
2023-01,54216,33.328107,-86.356825
2023-01,56076,33.582793,-86.779866
2023-01,54985,31.262356,-85.402737
2023-01,702,32.663,-85.0908
2023-01,707,32.6096,-85.0795
2023-01,10699,32.2268,-88.0252
2023-01,7897,32.381352,-86.574366
2023-01,7710,32.6078,-85.0975
2023-01,54752,31.9698,-87.4806
2023-01,55044,31.4894,-87.8989
2023-01,54550,30.43203,-88.18241
2023-01,10216,31.5825,-87.4889
2023-01,54429,31.5825,-87.4889
2023-01,55411,33.000669,-85.903278
2023-01,58061,34.623611,-87.101111
2023-01,59710,34.343875,-85.866103
2023-01,52140,32.4187,-86.4718
2023-01,55293,34.6397,-87.0639
2023-01,6440,34.79782,-87.62537
2023-01,56018,33.1661,-86.2825
2023-01,6150,34.7092,-85.9278
2023-01,54789,31.077,-87.1116
2023-01,57467,32.960714,-87.655419
2023-01,47,34.7439,-87.8486
2023-01,46,34.7042,-87.1189
2023-01,48,34.421272,-86.393931
2023-01,49,34.8069,-87.3819
2023-01,55271,32.6514,-86.7386
2023-01,38,32.100881,-87.399767
2023-01,6131,32.324242,-86.784319
2023-01,54096,32.426016,-86.870912
2023-01,55241,30.7478,-88.0575
2023-01,54802,32.1761,-85.0272
2023-01,55138,32.54098,-85.038879
2023-01,60058,34.831511,-87.842204
2023-01,62462,34.76973,-87.90454
2023-01,61901,34.610987,-86.611551
2023-01,62449,30.737741,-88.04977
2023-01,50359,33.568164,-86.79873
2023-01,61924,34.94974,-86.868053
2023-01,60583,32.876313,-85.38821
2023-01,63627,35.47056,-93.4464
2023-01,64261,34.97953,-90.80602
2023-01,64262,35.03789,-90.80707
2023-01,64263,34.421,-93.19485
2023-01,166,34.4425,-93.0262
2023-01,170,34.4341,-92.9049
2023-01,174,34.4272,-92.8941
2023-01,6641,35.678442,-91.408761
2023-01,8055,35.311,-93.2351
2023-01,55380,33.296146,-92.589364
2023-01,6009,34.4228,-92.1406
2023-01,55418,34.29759,-92.868344
2023-01,201,35.462382,-93.804926
2023-01,202,35.260102,-91.363426
2023-01,7040,35.351361,-94.294349
2023-01,7135,35.127591,-92.790273
2023-01,7246,33.986501,-91.315788
2023-01,7825,33.6094,-93.7924
2023-01,55221,34.5923,-92.2166
2023-01,55714,34.4297,-92.8317
2023-01,56489,35.9714,-94.0014
2023-01,55340,35.8619,-90.0253
2023-01,203,33.5648,-92.7917
2023-01,10606,33.1421,-91.975
2023-01,54104,33.6417,-94.1083
2023-01,7283,36.024272,-90.509229
2023-01,8015,36.0242,-90.5094
2023-01,172,35.705381,-89.9689
2023-01,193,36.3858,-90.1867
2023-01,7166,34.7956,-92.3569
2023-01,60924,36.164296,-94.082269
2023-01,64392,35.306183,-93.925758
2023-01,195,34.148427,-93.715168
2023-01,187,34.211913,-93.110963
2023-01,197,34.570984,-93.194425
2023-01,10627,34.221213,-91.907365
2023-01,188,35.5207,-91.9953
2023-01,182,36.421507,-93.847373
2023-01,196,36.2491,-92.2401
2023-01,198,36.3635,-92.5763
2023-01,199,35.2503,-93.1686
2023-01,6142,35.4693,-93.8175
2023-01,50638,33.7061,-91.2371
2023-01,57160,35.757401,-91.636887
2023-01,57161,35.744036,-91.765418
2023-01,57162,35.84361,-91.850521
2023-01,57025,36.140849,-94.259713
2023-01,54283,35.484488,-94.392858
2023-01,56523,34.8332,-92.157103
2023-01,55075,34.2181,-91.9025
2023-01,56505,35.848561,-90.725377
2023-01,6138,36.2561,-94.5241
2023-01,56328,36.1855,-94.2841
2023-01,56564,33.649722,-93.811944
2023-01,10050,34.6968,-92.165
2023-01,61839,34.638429,-92.578347
2023-01,62682,36.082301,-94.067149
2023-01,62683,36.04135,-94.140079
2023-01,64444,35.301,-93.734
2023-01,65351,33.602,-92.541
2023-01,59947,33.631538,-92.703611
2023-01,62617,35.233,-91.69
2023-01,61262,34.439722,-91.44
2023-01,56456,35.6644,-89.9489
2023-01,61869,35.46715,-93.51517
2023-01,60536,36.066336,-94.172254
2023-01,63295,33.479,-91.349
2023-01,8902,36.01551,-114.738006
2023-01,120,32.7214,-114.7106
2023-01,6008,33.3881,-112.8617
2023-01,55455,33.334562,-112.840641
2023-01,55522,32.9285,-111.5899
2023-01,118,32.5517,-111.3
2023-01,56228,34.6584,-112.4008
2023-01,57324,33.526111,-112.37944
2023-01,57560,34.71843,-112.42899
